https://replicate.com/abhisingh0909/rembg,abhisingh0909,rembg,1 year ago,9.6K runs,https://replicate.delivery/pbxt/SycSfvuE3fgkSUWE16wWfuoAE9gDf8fUTBuAPcjkHK2PFHPPC/out.png,Removes background
https://replicate.com/abiruyt/text-extract-ocr,abiruyt,text-extract-ocr,"1 year, 1 month ago",67.1M runs,,A simple OCR Model that can easily extract text from an image.
https://replicate.com/abtsolutions/factorio-icon-gen,abtsolutions,factorio-icon-gen,"1 month, 4 weeks ago",120 runs,,Generate Factorio-themed item icons
https://replicate.com/abyssalsoul/cyberdad,abyssalsoul,cyberdad,"2 months, 4 weeks ago",72 runs,,
https://replicate.com/ad-ams/ppl01,ad-ams,ppl01,"2 months, 2 weeks ago",40 runs,,
https://replicate.com/adalab-ai/kandinsky_v2_2,adalab-ai,kandinsky_​v2_​2,"1 year, 4 months ago",38.8K runs,,Generate images with Kandinsky 2.2 - Mix text and images
https://replicate.com/adarvishian/paradin,adarvishian,paradin,"1 month, 2 weeks ago",61 runs,,
https://replicate.com/adiba-shahana/fine-tune-iteration3,adiba-shahana,fine-tune-iteration3,"8 months, 3 weeks ago",448 runs,https://replicate.delivery/pbxt/92n7fsNgyR32YSb2ym88OHkVQIE9AdFAGlf5r8nTmY1zUKekA/out-0.png,
https://replicate.com/adiba-shahana/sdxl-large-fine-tuned,adiba-shahana,sdxl-large-fine-tuned,"8 months, 3 weeks ago",83 runs,https://replicate.delivery/pbxt/aZtQE7UzUU6GN1VZdA2fYX3MaTeYnMznwmS6GCh7Ld2DKeykA/out-3.png,
https://replicate.com/adidoes/whisperx-video-transcribe,adidoes,whisperx-video-transcribe,"1 year, 2 months ago",7.6K runs,,ASR from video URL based on whisperx using large-v2 model
https://replicate.com/adirik/bunny-phi-2-siglip,adirik,bunny-phi-2-siglip,9 months ago,3.9K runs,,"Lightweight multimodal model for visual question answering, reasoning and captioning"
https://replicate.com/adirik/codet,adirik,codet,1 year ago,1.1K runs,,Detects objects in an image
https://replicate.com/adirik/deforum-kandinsky-2-2,adirik,deforum-kandinsky-2-2,"1 year, 1 month ago",7.3K runs,,Generate videos from text prompts with Kandinsky-2.2
https://replicate.com/adirik/e5-mistral-7b-instruct,adirik,e5-mistral-7b-instruct,9 months ago,627 runs,https://tjzk.replicate.delivery/models_models_cover_image/673a45ab-5caf-41c6-936a-96f1db639ee3/E5-logos.jpeg,E5-mistral-7b-instruct language embedding model
https://replicate.com/adirik/flux-cinestill,adirik,flux-cinestill,3 months ago,60.9K runs,https://tjzk.replicate.delivery/models_models_featured_image/2838391b-a106-4d81-b0ff-68aa5a0b9367/cinestill.png,"Flux lora, use ""CNSTLL"" to trigger"
https://replicate.com/adirik/flux-fantasy-architecture,adirik,flux-fantasy-architecture,3 months ago,62 runs,,"Flux lora, use ""in the style of FNTSYRCH"" to trigger"
https://replicate.com/adirik/gaussiandreamer,adirik,gaussiandreamer,"8 months, 3 weeks ago",229 runs,,Fast text-to-3D Gaussian generation by bridging 2D and 3D diffusion models
https://replicate.com/adirik/grounding-dino,adirik,grounding-dino,"1 year, 1 month ago",160.1K runs,https://pbxt.replicate.delivery/oJDgostFveUPEiUVnTRM9MnL7rxEMXIuy65E6K2X638PfFyRA/result.png,Detect everything with language!
https://replicate.com/adirik/hierspeechpp,adirik,hierspeechpp,"11 months, 2 weeks ago",3.3K runs,,Zero-shot speech synthesizer for text-to-speech and voice conversion
https://replicate.com/adirik/imagedream,adirik,imagedream,"10 months, 1 week ago",954 runs,,Image-Prompt Multi-view Diffusion for 3D Generation
https://replicate.com/adirik/inst-inpaint,adirik,inst-inpaint,"1 year, 1 month ago",458 runs,https://pbxt.replicate.delivery/djFvWif7hLwqDieF1nSiaohu8g4CxEi8ja7tGINk9fcVhdVjA/output.png,Inst-Inpaint: Instructing to Remove Objects with Diffusion Models
https://replicate.com/adirik/interior-design,adirik,interior-design,"7 months, 3 weeks ago",242K runs,,Realistic interior design with text and image inputs
https://replicate.com/adirik/kosmos-g,adirik,kosmos-g,"11 months, 3 weeks ago",4.1K runs,,Kosmos-G: Generating Images in Context with Multimodal Large Language Models
https://replicate.com/adirik/leditsplusplus,adirik,leditsplusplus,8 months ago,673 runs,,LEdits++ for image editing
https://replicate.com/adirik/lightweight-openpose,adirik,lightweight-openpose,"1 year, 2 months ago",1.6K runs,https://tjzk.replicate.delivery/models_models_featured_image/9dd7e1ab-1715-47e3-a7ac-05c8dc307f11/example.png,"PyTorch version of Lightweight OpenPose as introduced in ""Real-time 2D Multi-Person Pose Estimation on CPU: Lightweight OpenPose"""
https://replicate.com/adirik/local-prompt-mixing,adirik,local-prompt-mixing,"11 months, 2 weeks ago",80 runs,,Generating object-level shape variations with Stable Diffusion
https://replicate.com/adirik/mamba-1.4b,adirik,mamba-1.4b,"9 months, 3 weeks ago",61 runs,,"Base version of Mamba 1.4B, a 1.4 billion parameter state space language model"
https://replicate.com/adirik/mamba-130m,adirik,mamba-130m,"9 months, 3 weeks ago",118 runs,,"Base version of Mamba 130M, a 130 million parameter state space language model"
https://replicate.com/adirik/mamba-2.8b,adirik,mamba-2.8b,"9 months, 3 weeks ago",250 runs,,"Base version of Mamba 2.8B, a 2.8 billion parameter state space language model"
https://replicate.com/adirik/mamba-2.8b-chat,adirik,mamba-2.8b-chat,"9 months, 1 week ago",785 runs,,Mamba 2.8B state space language model fine tuned for chat
https://replicate.com/adirik/mamba-2.8b-slimpj,adirik,mamba-2.8b-slimpj,"9 months, 3 weeks ago",51 runs,,"Base version of Mamba 2.8B Slim Pyjama, a 2.8 billion parameter state space language model"
https://replicate.com/adirik/mamba-370m,adirik,mamba-370m,"9 months, 3 weeks ago",45 runs,,"Base version of Mamba 370M, a 370 million parameter state space language model"
https://replicate.com/adirik/mamba-790m,adirik,mamba-790m,"9 months, 3 weeks ago",44 runs,,"Base version of Mamba 790M, a 790 million parameter state space language model"
https://replicate.com/adirik/marigold,adirik,marigold,"11 months, 2 weeks ago",7.8K runs,,Monocular depth estimation
https://replicate.com/adirik/masactrl-anything-v4-0,adirik,masactrl-anything-v4-0,"11 months, 3 weeks ago",1.3K runs,,Edit real or generated images
https://replicate.com/adirik/masactrl-sdxl,adirik,masactrl-sdxl,"11 months, 3 weeks ago",3.4K runs,,Editable image generation with MasaCtrl-SDXL
https://replicate.com/adirik/masactrl-stable-diffusion-v1-4,adirik,masactrl-stable-diffusion-v1-4,"11 months, 3 weeks ago",2.1K runs,,Edit real or generated images
https://replicate.com/adirik/multilingual-e5-base,adirik,multilingual-e5-base,9 months ago,20 runs,,Multilingual E5-large language embedding model
https://replicate.com/adirik/multilingual-e5-large,adirik,multilingual-e5-large,9 months ago,536 runs,,Multilingual E5-large language embedding model
https://replicate.com/adirik/multilingual-e5-small,adirik,multilingual-e5-small,9 months ago,46 runs,,Multilingual E5-small language embedding model
https://replicate.com/adirik/mvdream,adirik,mvdream,1 year ago,954 runs,,Generate 3D assets using text descriptions
https://replicate.com/adirik/owlvit-base-patch32,adirik,owlvit-base-patch32,"1 year, 1 month ago",22.9K runs,https://replicate.delivery/pbxt/oO5rHoHwsrYGJh5HeElqpBBmjoi1gkXxGofpiQuxMvDNlduRA/result.png,Zero-shot / open vocabulary object detection
https://replicate.com/adirik/prompt-to-prompt-realvisxl-3.0,adirik,prompt-to-prompt-realvisxl-3.0,"8 months, 1 week ago",412 runs,,Image editing with Prompt-to-Prompt for RealVisXL-v3.0
https://replicate.com/adirik/realistic-vision-v6.0,adirik,realistic-vision-v6.0,"8 months, 2 weeks ago",3.5K runs,,Photorealism with Realistic Vision v6.0
https://replicate.com/adirik/realvisxl-v3.0-turbo,adirik,realvisxl-v3.0-turbo,"10 months, 1 week ago",111.9K runs,,Photorealism with RealVisXL V3.0 Turbo based on SDXL
https://replicate.com/adirik/realvisxl-v4.0,adirik,realvisxl-v4.0,"9 months, 1 week ago",43.5K runs,,Photorealism with RealVisXL V4.0
https://replicate.com/adirik/realvisxl-v4.0-lightning,adirik,realvisxl-v4.0-lightning,"8 months, 2 weeks ago",22K runs,,Photorealism with RealVisXL V4.0 Lightning
https://replicate.com/adirik/sdxl-prompt-to-prompt,adirik,sdxl-prompt-to-prompt,"8 months, 1 week ago",224 runs,,Image editing with Prompt-to-Prompt for SDXL
https://replicate.com/adirik/stylemc,adirik,stylemc,"8 months, 3 weeks ago",3.2K runs,,Text-guided image generation and editing
https://replicate.com/adirik/stylemc-old,adirik,stylemc-old,"2 years, 9 months ago",824 runs,,Text-Guided Image Generation and Manipulation
https://replicate.com/adirik/styletts2,adirik,styletts2,"9 months, 4 weeks ago",124.9K runs,,Generates speech from text
https://replicate.com/adirik/syncdiffusion,adirik,syncdiffusion,"9 months, 4 weeks ago",117 runs,,Generate panoramic images with text prompts
https://replicate.com/adirik/t2i-adapter-sdxl-canny,adirik,t2i-adapter-sdxl-canny,1 year ago,33.6K runs,,Modify images using canny edges
https://replicate.com/adirik/t2i-adapter-sdxl-depth-midas,adirik,t2i-adapter-sdxl-depth-midas,1 year ago,340.8K runs,,Modify images using depth maps
https://replicate.com/adirik/t2i-adapter-sdxl-lineart,adirik,t2i-adapter-sdxl-lineart,1 year ago,50.3K runs,,Modify images using line art
https://replicate.com/adirik/t2i-adapter-sdxl-openpose,adirik,t2i-adapter-sdxl-openpose,1 year ago,61.4K runs,,Modify images using human pose
https://replicate.com/adirik/t2i-adapter-sdxl-sketch,adirik,t2i-adapter-sdxl-sketch,1 year ago,15.6K runs,,Modify images using sketches
https://replicate.com/adirik/text2tex,adirik,text2tex,"8 months, 1 week ago",181 runs,,[Non-commercial] Generate texture for 3D assets using text descriptions
https://replicate.com/adirik/texture,adirik,texture,1 year ago,1.2K runs,,Generate texture for your mesh with text prompts
https://replicate.com/adirik/titanet-large,adirik,titanet-large,1 year ago,76 runs,,Performs speaker identity verification
https://replicate.com/adirik/vila-2.7b,adirik,vila-2.7b,"8 months, 2 weeks ago",1.4K runs,,[Non-commerical] A multi-image visual language model
https://replicate.com/adirik/vila-7b,adirik,vila-7b,"8 months, 2 weeks ago",2.1K runs,,[Non-commerical] A multi-image visual language model
https://replicate.com/adirik/wonder3d,adirik,wonder3d,9 months ago,2.7K runs,,Generates 3D assets from images
https://replicate.com/adithram/inkpunk-diffusion,adithram,inkpunk-diffusion,"1 year, 8 months ago",3.3K runs,https://tjzk.replicate.delivery/models_models_cover_image/b00100d0-fa16-4ea1-a4c0-6ae46f7e1b68/out-0.png,"Replicate port of https://huggingface.co/Envvi/Inkpunk-Diffusion. Finetuned Stable Diffusion model trained on dreambooth. Vaguely inspired by Gorillaz, FLCL, and Yoji Shinkawa."
https://replicate.com/adriannordqvist/eliaz_genai,adriannordqvist,eliaz_​genai,"1 month, 1 week ago",99 runs,https://replicate.delivery/yhqm/8wmhShn18aoPGZ2YmRWKrlWluUqnbCVdHHNaQLgUxRn0hfzJA/out-0.webp,
https://replicate.com/advaitchauhan/advait-man,advaitchauhan,advait-man,"2 months, 3 weeks ago",24 runs,,
https://replicate.com/advaitchauhan/amelia-woman,advaitchauhan,amelia-woman,"2 months, 3 weeks ago",29 runs,,
https://replicate.com/advaitchauhan/lucheng,advaitchauhan,lucheng,"2 months, 2 weeks ago",14 runs,,
https://replicate.com/advaitchauhan/paroo,advaitchauhan,paroo,"2 months, 2 weeks ago",19 runs,,
https://replicate.com/advaitchauhan/rxbar,advaitchauhan,rxbar,"2 months, 3 weeks ago",8 runs,,
https://replicate.com/advaitchauhan/xiaomicar,advaitchauhan,xiaomicar,"2 months, 3 weeks ago",16 runs,,
https://replicate.com/adventurepizza/genshin-impact,adventurepizza,genshin-impact,"1 year, 1 month ago",870 runs,,SDXL fine tuned on Genshin Impact landscape by imageapp.xyz
https://replicate.com/adventurepizza/minimalist-design,adventurepizza,minimalist-design,"1 year, 2 months ago",2.6K runs,,SDXL fine tuned on minimalist design by imageapp.xyz
https://replicate.com/advoworks/lokidog,advoworks,lokidog,"1 month, 3 weeks ago",275 runs,,
https://replicate.com/adymaharana/story-dalle,adymaharana,story-dalle,2 years ago,639 runs,https://replicate.delivery/pbxt/bq0mFYH8NTYGEZOOp05uW94OyWRfQ8sm1nG7pnQJwGnQO1EIA/gradio_demo_pororo_415.png,A model trained for the task of story visualization; generating images to pair with captions in a story.
https://replicate.com/adynblaed/embersteel-sdxl-andraxus,adynblaed,embersteel-sdxl-andraxus,"1 year, 2 months ago",182 runs,,SDXL for Embersteel | Andraxus
https://replicate.com/aexol-studio/deepl-docs-w-context,aexol-studio,deepl-docs-w-context,"3 weeks, 2 days ago",53 runs,https://tjzk.replicate.delivery/models_models_cover_image/0c2b01d5-07ac-4267-af61-17a9f1238660/untitled.png,Document translation with contextual integrity.
https://replicate.com/aexol-studio/newsletter_samarite,aexol-studio,newsletter_​samarite,an hour ago,18 runs,,
https://replicate.com/afiaka87/clip-guided-diffusion,afiaka87,clip-guided-diffusion,"2 years, 1 month ago",43K runs,https://tjzk.replicate.delivery/models_models_cover_image/d17b5cb8-a608-4c32-afe2-c60a376877e1/photon.png,Generate image from text by guiding a denoising diffusion model. Inference is somewhat slow.
https://replicate.com/afiaka87/glid-3-xl,afiaka87,glid-3-xl,"2 years, 3 months ago",8K runs,,CompVis `latent-diffusion text2im` finetuned for inpainting.
https://replicate.com/afiaka87/laionide-v4,afiaka87,laionide-v4,"2 years, 8 months ago",9.2K runs,,GLIDE-text2im w/ humans and experimental style prompts.
https://replicate.com/afiaka87/ldm-autoedit,afiaka87,ldm-autoedit,"2 years, 5 months ago",1.5K runs,,
https://replicate.com/afiaka87/mannequin-gan-3-electric-boogaloo-2,afiaka87,mannequin-gan-3-electric-boogaloo-2,"3 years, 1 month ago",850 runs,https://tjzk.replicate.delivery/models_models_cover_image/cf6d826f-62e1-4175-abd4-9ba4cb6c2e62/replicate-prediction-huzw7yxt2vbf.png,Guide a StyleGAN3 trained on pictures of mannequins with CLIP.
https://replicate.com/afiaka87/pyglide,afiaka87,pyglide,"2 years, 1 month ago",18.6K runs,https://tjzk.replicate.delivery/models_models_cover_image/f83e21b6-1ea0-4d5a-b79e-2dc25abc0ccd/replicate-prediction-eoz5brtp7bea.png,"The predecessor to DALLE-2, GLIDE (filtered) with faster PRK/PLMS sampling."
https://replicate.com/afiaka87/retrieval-augmented-diffusion,afiaka87,retrieval-augmented-diffusion,"2 years, 3 months ago",38.4K runs,,Generate 768px images from text using CompVis `retrieval-augmented-diffusion`
https://replicate.com/afiaka87/sd-aesthetic-guidance,afiaka87,sd-aesthetic-guidance,"2 years, 2 months ago",4.3K runs,,Use stable diffusion and aesthetic CLIP embeddings to guide boring outputs to be more aesthetically pleasing.
https://replicate.com/afiaka87/tortoise-tts,afiaka87,tortoise-tts,"2 years, 3 months ago",165.5K runs,,"Generate speech from text, clone voices from mp3 files. From James Betker AKA ""neonbjb""."
https://replicate.com/afterpeak/flux-slowed,afterpeak,flux-slowed,"2 months, 3 weeks ago",2.3K runs,,Flux LORA to generate images in the style of the arworks used for sowed versions of a song
https://replicate.com/agusdor/lora-sillon,agusdor,lora-sillon,"3 months, 1 week ago",30 runs,,Excelente sillón de Mueblería Papa
https://replicate.com/agusdor/pen_lettering_flux_lora,agusdor,pen_​lettering_​flux_​lora,"3 months, 1 week ago",362 runs,,"Fine tuned vintage pen lettering and calligraphy model for Flux-dev. Dataset obtained from old calligraphy books, designs carefully selected by quality and made with black ink and pen. Upscaled, refined and captioned for better adherence. Admits drawings"
https://replicate.com/ah77ac/majestyrabbit-flux-lora,ah77ac,majestyrabbit-flux-lora,"2 months, 3 weeks ago",96 runs,https://replicate.delivery/yhqm/Trszb0XRcwKuB5veOe3LgNvG41ytRIGfgDuinIxr2Hfa8FmNB/out-0.jpg,
https://replicate.com/ahmdyassr/mask-clothing,ahmdyassr,mask-clothing,"5 months, 2 weeks ago",9.6K runs,,Super fast clothing (and face) segmentation and masking with erosion and dilation capability.
https://replicate.com/ai-forever/kandinsky-2,ai-forever,kandinsky-2,"7 months, 1 week ago",6.2M runs,https://tjzk.replicate.delivery/models_models_featured_image/e58cec51-6215-4d30-8c03-80f3ea0994d0/einstein.png,text2img model trained on LAION HighRes and fine-tuned on internal datasets
https://replicate.com/ai-forever/kandinsky-2-1,ai-forever,kandinsky-2-1,"1 year, 5 months ago",84.1K runs,,Kandinsky 2.1 Diffusion Model
https://replicate.com/ai-forever/kandinsky-2.2,ai-forever,kandinsky-2.2,"7 months, 2 weeks ago",10M runs,,multilingual text2image latent diffusion model
https://replicate.com/aially100/violet,aially100,violet,"2 months, 3 weeks ago",8 runs,,
https://replicate.com/aicapcut/anima-pencil-v310,aicapcut,anima-pencil-v310,"6 months, 3 weeks ago",86 runs,https://replicate.delivery/pbxt/oJBLtizwaOaWN1qxIOGvRpHmgxTpneuGBxauZuT4Kv5Y6IaJA/out-0.png,Generate anime-style image
https://replicate.com/aicapcut/anima-pencil-v310-with-layer-diffuse,aicapcut,anima-pencil-v310-with-layer-diffuse,"6 months, 2 weeks ago",584 runs,,Generate image with transparent background
https://replicate.com/aicapcut/blue-pencil-v600-optimized,aicapcut,blue-pencil-v600-optimized,"6 months, 3 weeks ago",245 runs,https://replicate.delivery/pbxt/w80eqdezaAugeJlsLEfTIIffYb4rGArodCb3lkgF9CBUNgMsE/out-3.png,Optimized model
https://replicate.com/aicapcut/stable-video-diffusion-img2vid-xt-optimized,aicapcut,stable-video-diffusion-img2vid-xt-optimized,"6 months, 3 weeks ago",878 runs,,Generate video
https://replicate.com/aihecs/cleopatre_ntc_ihecs,aihecs,cleopatre_​ntc_​ihecs,"1 month, 1 week ago",1K runs,,
https://replicate.com/aihilums/problem_assessment,aihilums,problem_​assessment,"1 month, 2 weeks ago",7 runs,,
https://replicate.com/ailingangel/baitian,ailingangel,baitian,"1 month, 3 weeks ago",19 runs,,
https://replicate.com/ailingangel/fubao-2,ailingangel,fubao-2,"2 weeks, 6 days ago",39 runs,,
https://replicate.com/ailingangel/menger1,ailingangel,menger1,"1 month, 4 weeks ago",71 runs,,
https://replicate.com/aitechtree/nsfw-novel-generation,aitechtree,nsfw-novel-generation,"1 month, 2 weeks ago",594 runs,,NSFW Erotic Novel AI Generation -NSFW Text (Data) Generator for Detecting 'NSFW' Text: Multilingual Experience
https://replicate.com/aitechtree/test-hello,aitechtree,test-hello,"1 month, 3 weeks ago",5 runs,https://tjzk.replicate.delivery/models_models_cover_image/4d2e3533-7d91-4134-9108-9929913fd264/tmp1n2k_scl.png,test-world
https://replicate.com/aitechtree/test-world,aitechtree,test-world,"1 month, 3 weeks ago",3 runs,https://tjzk.replicate.delivery/models_models_cover_image/c0bb0b53-100e-4b0e-bc09-f76cec57cbd2/image_-_2024-10-07T190352.331.webp,test-world
https://replicate.com/aj1357/ai-tshirt-mockup,aj1357,ai-tshirt-mockup,"2 months, 4 weeks ago",50 runs,,
https://replicate.com/akhil20187/zoozoo,akhil20187,zoozoo,"5 months, 4 weeks ago",38 runs,,ZooZoo Images
https://replicate.com/akisakurai/stable-karlo,akisakurai,stable-karlo,"1 year, 7 months ago",989 runs,,"Stable Diffusion Meets Karlo: a combination of the Karlo CLIP image embedding prior, and Stable Diffusion v2.1-768."
https://replicate.com/albertsimondev/amelie-dwarf,albertsimondev,amelie-dwarf,"2 months, 1 week ago",12 runs,,Create images of Amelie's traveling dwarf. Simply write a location and include the trigger word 'ADWARF' to generate a Polaroid-style photo
https://replicate.com/alec0xffffff/hot-dog-writing,alec0xffffff,hot-dog-writing,"1 month, 1 week ago",182 runs,,
